0	0	25
0	0	25
0	0	25
433.013	250	25
433.013	250	25
433.013	250	25
0	500	25
0	500	25
0	500	25
-433.013	250	25
-433.013	250	25
-433.013	250	25
-433.013	-250	25
-433.013	-250	25
-433.013	-250	25
0	-500	25
0	-500	25
0	-500	25
433.013	-250	25
433.013	-250	25
433.013	-250	25
866.025	0	25
866.025	0	25
866.025	0	25
866.025	500	25
866.025	500	25
866.025	500	25
433.013	750	25
433.013	750	25
433.013	750	25
0	1000	25
0	1000	25
0	1000	25
-433.013	750	25
-433.013	750	25
-433.013	750	25
-866.025	500	25
-866.025	500	25
-866.025	500	25
-866.025	0	25
-866.025	0	25
-866.025	0	25
-866.025	-500	25
-866.025	-500	25
-866.025	-500	25
-433.013	-750	25
-433.013	-750	25
-433.013	-750	25
0	-1000	25
0	-1000	25
0	-1000	25
433.013	-750	25
433.013	-750	25
433.013	-750	25
866.025	-500	25
866.025	-500	25
866.025	-500	25
