-134.793	-122.779	10.5
89.2412	-169.741	1.5
274.576	36.3497	7.5
167.604	-4.17826	4.5
-271.376	71.4121	4.5
-233.347	185.94	1.5
414.763	70.8305	4.5
332.851	157.577	4.5
603.411	276.804	16.5
515.367	262.834	1.5
300.447	481.424	1.5
395.251	243.969	7.5
67.0634	282.142	10.5
-102.88	388.632	13.5
31.0201	576.347	10.5
145.186	664.907	1.5
-250.884	541.662	1.5
-232.226	558.075	13.5
-415.04	-8.32562	7.5
-318.966	93.8803	7.5
-310.257	388.801	1.5
-315.553	431.268	1.5
-622.185	442.65	7.5
-711.38	340.431	1.5
-415.576	-565.488	10.5
-425.714	-432.137	7.5
-157.878	-178.076	1.5
-193.192	-148.906	4.5
-599.187	-107.337	13.5
-659.369	-120.005	4.5
52.1434	-594.836	10.5
98.7995	-734.039	7.5
64.5666	-323.201	7.5
251.7	-406.673	1.5
-238.991	-329.493	1.5
-92.2072	-415.47	13.5
454.008	-369.838	1.5
326.874	-494.422	1.5
607.188	-206.895	1.5
562.538	-42.9962	1.5
315.627	-86.7397	13.5
398.223	-207.217	1.5
894.697	-174.658	10.5
763.481	-231.336	1.5
872.105	57.7765	4.5
997.242	8.34458	1.5
706.357	186.096	19.5
606.742	104.893	1.5
779.609	418.2	1.5
827.298	396.251	1.5
976.026	536.542	7.5
1108.7	549.003	4.5
763.965	568.455	16.5
814.504	553.824	1.5
403.672	536.187	4.5
310.222	671.933	7.5
463.091	774.426	4.5
554.841	922.42	19.5
288.663	680.722	13.5
291.364	914.831	1.5
-44.2977	972.32	1.5
-77.2107	781.404	1.5
154.615	1053.42	1.5
246.281	1162.91	16.5
-51.5381	1028.33	4.5
-118.964	1143.24	1.5
-420.975	739.47	19.5
-512.56	484.28	4.5
-384.123	722.916	22.5
-184.852	930.099	4.5
-685.614	765.309	7.5
-603.62	749.96	7.5
-873.241	217.149	13.5
-915.147	229.402	10.5
-752.047	541.672	1.5
-709.577	548.536	10.5
-999.275	682.316	1.5
-1083.31	699.453	1.5
-919.711	-189.81	1.5
-766.509	-208.216	13.5
-790.927	-7.37932	10.5
-753.46	157.581	1.5
-937.927	10.2803	1.5
-922.965	197.859	1.5
-878.841	-797.52	1.5
-773.678	-574.544	7.5
-759.945	-363.038	1.5
-820.251	-483.272	7.5
-1122.15	-340.69	10.5
-973.916	-555.078	1.5
-404.542	-1033.77	7.5
-456.363	-874.126	13.5
-176.52	-750.002	1.5
-265.556	-618.793	13.5
-628.633	-754.367	1.5
-485.599	-708.628	19.5
-2.86746	-1026.76	1.5
25.4074	-1272.86	16.5
148.813	-1018.23	1.5
20.871	-834.922	13.5
-102.493	-998.396	4.5
-145.979	-810.925	10.5
391.069	-833.539	1.5
316.454	-819.006	16.5
543.572	-690.945	13.5
478.153	-595.525	1.5
423.273	-595.455	1.5
148.941	-627.653	1.5
780.692	-596.278	4.5
961.795	-580.998	1.5
1152.43	-431.092	10.5
1133.02	-418.349	4.5
637.1	-482.741	1.5
743.387	-337.172	1.5
