19	 0	 0.0801022    110637
25	 1	 1.52946    1.18411e+06
5	 2	 4.18363    49102.7
19	 3	 30.7715    131700
1	 4	 26.6271    69611.2
8	 5	 2.59855    172074
22	 6	 7.85144    192017
12	 7	 1.70921    1.02464e+06
3	 8	 7.51337    54080.3
0	 9	 3.60427    601567
0	 10	 1.19417    252767
4	 11	 4.77592    48960
33	 12	 3.19287    392243
8	 13	 1.08677    45913.8
47	 14	 12.1006    1.97337e+06
25	 15	 1.94954    540419
7	 16	 5.26885    32590.5
56	 17	 26.2488    2.5632e+06
11	 18	 13.5473    19753.4
16	 19	 3.37206    493612
1	 20	 7.40687    148774
35	 21	 31.6972    87442.4
16	 22	 4.0697    984594
10	 23	 2.90966    67047.6
14	 24	 1.66672    59710.6
16	 25	 0.652199    128773
54	 26	 2.40823    1.54239e+06
11	 27	 21.0615    163956
13	 28	 109.754    22002.2
46	 29	 1.93    512067
52	 30	 5.23232    128838
27	 31	 7.28485    2.30517e+06
52	 32	 0.562552    181121
5	 33	 6.42195    469400
49	 34	 1.00269    351012
11	 35	 1.35693    566561
36	 36	 8.40421    2.16801e+06
37	 37	 4.1602    2.25561e+06
55	 38	 0.139423    121487
18	 39	 4.50722    39070.1
29	 40	 0.9215    936829
19	 41	 9.49608    18474.4
43	 42	 13.5983    3.4928e+06
43	 43	 1.5972    3.04787e+06
33	 44	 1.80435    2.71872e+06
18	 45	 1.69482    340883
5	 46	 3.5218    92515.1
18	 47	 2.39578    245335
10	 48	 3.97974    1.34022e+06
38	 49	 5.40764    3.18091e+06
35	 50	 2.0595    2.20306e+06
24	 51	 14.3621    40518.2
27	 52	 4.36727    103729
22	 53	 2.01831    458305
6	 54	 1.15088    128129
55	 55	 6.00889    1.25118e+06
44	 56	 1.52758    3.7748e+06
27	 57	 8.24952    81646.7
44	 58	 1.17007    2.93091e+06
49	 59	 2.75665    3.75446e+06
33	 60	 1.88118    110723
28	 61	 0.361176    158945
30	 62	 2.77991    52114.1
6	 63	 5.59499    278441
23	 64	 3.69092    1.99078e+06
25	 65	 2.75999    1.17942e+06
35	 66	 0.0117329    45011.8
35	 67	 10.3008    4569.19
23	 68	 0.427114    2.25618e+06
12	 69	 4.24253    1.12581e+06
56	 70	 3.70599    3.97316e+06
45	 71	 11.3071    2.8945e+06
36	 72	 1.72757    3134.18
10	 73	 10.8956    114515
36	 74	 1.91826    50221.1
